account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,latest_sub_id,latest_sub_start,latest_sub_end,current_plan,current_seats,current_mrr,is_trial_current,has_upgraded,has_downgraded,is_currently_active,current_sub_duration_days,total_subscriptions,first_sub_date,avg_mrr,max_mrr,total_mrr_paid,total_upgrades,total_downgrades,churn_count,latest_churn_date,primary_churn_reason,all_churn_feedback,total_tickets,high_priority_tickets,avg_resolution_hours,avg_satisfaction,total_escalations,avg_first_response_mins,total_feature_events,total_feature_uses,total_usage_seconds,total_errors,beta_feature_uses,has_churned,customer_lifetime_days,customer_lifetime_months,cohort_month,ticket_intensity,error_intensity,lifetime_months_rounded,ticket_segment,engagement_level,used_beta
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,S-41128b,2024-11-13,2024-05-20,Enterprise,16,3184,False,False,False,True,524,7,2023-08-18,1173.7142857142858,3184,8216,2,1,0.0,,,,5.0,0.0,45.4,3.6666666666666665,0.0,91.8,39,424,124978,30,2,False,1003,33.4,2023-07,0.14970059880239522,0.7692307692307693,33,3-5 Tickets,Medium (25-50%),True
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,S-6b534f,2024-12-31,,Enterprise,14,2786,False,False,False,True,476,11,2024-07-01,1983.7272727272727,5970,21821,0,0,2.0,2024-09-01,competitor,switched to competitor | missing features,3.0,1.0,43.0,3.0,0.0,84.0,63,651,186929,32,7,True,66,2.2,2024-06,1.3636363636363635,0.5079365079365079,2,3-5 Tickets,Power User (Top 25%),True
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,S-d7c21d,2024-12-17,2024-06-09,Basic,15,285,False,False,False,True,490,12,2023-08-07,1438.3333333333333,4975,17260,2,0,1.0,2023-07-12,features,missing features,6.0,2.0,23.666666666666668,4.0,0.0,90.16666666666667,64,693,200177,27,5,True,78,2.6,2023-04,2.3076923076923075,0.421875,3,6+ Tickets,Power User (Top 25%),True
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,S-6bdda7,2024-06-03,,Pro,37,1813,False,False,False,True,687,7,2023-06-12,1113.857142857143,2646,7797,2,0,1.0,2023-10-04,unknown,too expensive,1.0,1.0,27.0,4.0,0.0,49.0,37,385,125675,11,6,True,217,7.2,2023-03,0.1388888888888889,0.2972972972972973,7,1-2 Tickets,Low (Bottom 25%),True
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,S-df3e3d,2024-11-26,,Enterprise,13,0,True,False,False,True,511,4,2024-06-17,114.0,456,456,0,0,1.0,2024-11-29,unknown,missing features,7.0,4.0,40.857142857142854,4.6,0.0,76.14285714285714,24,248,81119,13,3,True,201,6.7,2024-05,1.044776119402985,0.5416666666666666,7,6+ Tickets,Low (Bottom 25%),True
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,S-57800a,2024-09-08,2024-10-13,Basic,5,95,False,False,False,True,590,9,2023-05-28,1265.7777777777778,3582,11392,0,0,0.0,,,,8.0,6.0,30.75,4.25,1.0,82.5,39,376,127515,31,3,False,1075,35.8,2023-05,0.223463687150838,0.7948717948717948,36,6+ Tickets,Medium (25-50%),True
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,S-a50803,2024-12-23,2024-12-30,Basic,66,0,True,False,False,True,484,12,2024-07-12,1677.5833333333333,4975,20131,2,1,1.0,2024-11-12,pricing,missing features,4.0,3.0,64.0,4.0,0.0,110.0,71,733,222582,53,4,True,141,4.7,2024-06,0.851063829787234,0.7464788732394366,5,3-5 Tickets,Power User (Top 25%),True
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,S-676254,2024-12-31,2024-12-30,Pro,20,980,False,False,False,True,476,6,2024-12-09,2459.8333333333335,4459,14759,0,0,1.0,2024-12-24,support,switched to competitor,5.0,2.0,44.2,4.8,0.0,100.8,24,248,73517,10,4,True,17,0.6,2024-12,8.333333333333334,0.4166666666666667,1,3-5 Tickets,Low (Bottom 25%),True
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,S-94fa70,2024-12-30,2024-12-06,Pro,41,2009,False,False,False,True,477,11,2024-10-28,797.3636363636364,2009,8771,0,1,0.0,,,,5.0,3.0,27.2,4.0,0.0,109.4,62,647,195598,33,4,False,541,18.0,2024-10,0.2777777777777778,0.532258064516129,18,3-5 Tickets,High (50-75%),True
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,S-e5bed6,2024-11-23,,Pro,58,2842,False,False,False,True,514,12,2023-06-11,4259.083333333333,18308,51109,2,0,2.0,2024-11-25,features,missing features,4.0,2.0,20.0,4.0,0.0,108.5,67,706,207116,46,9,True,571,19.0,2023-05,0.21052631578947367,0.6865671641791045,19,3-5 Tickets,Power User (Top 25%),True
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,S-2cb298,2024-12-20,2024-12-30,Enterprise,2,398,False,True,False,True,487,7,2024-08-26,509.2857142857143,2786,3565,3,0,0.0,,,,3.0,3.0,40.333333333333336,4.333333333333333,0.0,136.33333333333334,46,493,146301,31,5,False,604,20.1,2024-08,0.14925373134328357,0.6739130434782609,20,3-5 Tickets,Medium (25-50%),True
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,S-b2cfac,2024-12-24,,Enterprise,34,6766,False,False,False,True,483,15,2023-03-27,2634.4,7164,39516,2,0,0.0,,,,1.0,0.0,36.0,3.0,0.0,135.0,77,734,227186,38,5,False,1134,37.8,2023-03,0.026455026455026457,0.4935064935064935,38,1-2 Tickets,Power User (Top 25%),True
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,S-104053,2024-12-20,2024-09-27,Pro,35,1715,False,False,False,True,487,13,2023-07-19,2491.846153846154,7960,32394,4,0,2.0,2024-08-15,competitor,missing features | switched to competitor,2.0,1.0,12.0,4.5,0.0,78.0,67,666,215735,31,5,True,520,17.3,2023-03,0.11560693641618497,0.4626865671641791,17,1-2 Tickets,Power User (Top 25%),True
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,S-180b6c,2024-12-02,2024-09-01,Basic,30,570,False,False,False,True,505,13,2024-08-01,1497.3076923076924,9552,19465,1,0,1.0,2024-10-20,unknown,too expensive,3.0,1.0,42.666666666666664,3.5,0.0,111.33333333333333,66,672,210327,36,4,True,106,3.5,2024-07,0.8571428571428571,0.5454545454545454,4,3-5 Tickets,Power User (Top 25%),True
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,S-71cb15,2024-12-12,,Enterprise,34,6766,False,False,False,True,495,10,2024-04-30,2907.1,8159,29071,2,0,1.0,2024-05-07,pricing,,3.0,2.0,26.333333333333332,5.0,0.0,82.0,47,465,127997,19,7,True,8,0.3,2024-04,10.0,0.40425531914893614,0,3-5 Tickets,Medium (25-50%),True
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,S-63e282,2024-10-15,2024-11-07,Pro,14,686,False,True,False,False,23,11,2023-05-29,944.9090909090909,4378,10394,2,1,1.0,2024-07-19,budget,,2.0,0.0,18.5,4.5,1.0,141.0,59,597,172764,31,3,True,469,15.6,2023-04,0.12820512820512822,0.5254237288135594,16,1-2 Tickets,High (50-75%),True
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,S-a76521,2024-12-04,2024-10-10,Basic,33,627,False,False,False,True,503,15,2024-04-11,2547.3333333333335,17910,38210,3,1,1.0,2024-03-22,budget,,5.0,2.0,22.4,4.333333333333333,0.0,67.4,70,693,203946,27,6,True,26,0.9,2024-02,5.555555555555555,0.38571428571428573,1,3-5 Tickets,Power User (Top 25%),True
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,S-eae806,2024-12-30,2024-12-29,Enterprise,54,10746,False,False,False,True,477,12,2024-11-01,1706.25,10746,20475,0,0,1.0,2024-12-17,support,switched to competitor,4.0,2.0,42.25,3.6666666666666665,0.0,83.0,48,489,131835,21,3,True,47,1.6,2024-10,2.5,0.4375,2,3-5 Tickets,Medium (25-50%),True
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,S-fc3dcb,2024-12-24,,Enterprise,32,6368,False,False,False,True,483,13,2023-09-30,1821.2307692307693,6368,23676,2,1,3.0,2024-08-30,pricing,missing features | too expensive | missing features,5.0,2.0,27.4,4.0,0.0,46.6,52,523,177958,24,5,True,353,11.8,2023-09,0.423728813559322,0.46153846153846156,12,3-5 Tickets,High (50-75%),True
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,S-380617,2024-12-10,,Basic,47,893,False,False,False,True,497,12,2024-04-02,1590.6666666666667,9353,19088,1,1,3.0,2024-06-27,budget,too expensive | switched to competitor,2.0,2.0,42.0,3.0,0.0,38.0,73,696,236693,60,5,True,111,3.7,2024-03,0.5405405405405405,0.821917808219178,4,1-2 Tickets,Power User (Top 25%),True
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,S-1eb467,2024-12-31,2024-05-29,Enterprise,13,2587,False,False,False,True,476,16,2024-04-05,1999.3125,7164,31989,2,1,1.0,2024-05-02,budget,,3.0,2.0,47.333333333333336,5.0,0.0,87.66666666666667,77,746,204124,63,7,True,34,1.1,2024-03,2.727272727272727,0.8181818181818182,1,3-5 Tickets,Power User (Top 25%),True
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,S-a408fe,2024-10-18,,Pro,22,1078,False,True,False,True,550,11,2023-10-21,2400.909090909091,4577,26410,1,0,1.0,2024-08-21,support,missing features,6.0,2.0,23.333333333333332,4.0,0.0,100.5,53,514,169854,34,5,True,503,16.8,2023-04,0.35714285714285715,0.6415094339622641,17,6+ Tickets,High (50-75%),True
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,S-154918,2024-09-22,2024-03-17,Basic,26,494,False,False,False,True,576,8,2023-10-26,3223.75,8159,25790,1,2,2.0,2024-06-06,features,missing features | missing features,3.0,2.0,50.333333333333336,4.0,0.0,93.66666666666667,39,375,127687,30,4,True,304,10.1,2023-08,0.297029702970297,0.7692307692307693,10,3-5 Tickets,Medium (25-50%),True
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,S-4757c8,2024-09-17,2024-04-07,Basic,42,798,False,False,False,True,581,8,2023-04-04,562.25,980,4498,1,0,3.0,2024-07-19,budget,switched to competitor | missing features,2.0,0.0,34.5,3.5,0.0,61.5,41,418,115325,22,6,True,563,18.8,2023-01,0.10638297872340426,0.5365853658536586,19,1-2 Tickets,Medium (25-50%),True
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,S-9a7851,2024-12-27,2024-12-28,Pro,36,1764,False,False,False,False,1,16,2024-03-17,3003.75,7164,48060,2,0,0.0,,,,3.0,2.0,48.333333333333336,3.5,0.0,43.0,81,818,271358,27,10,False,773,25.8,2024-03,0.11627906976744186,0.3333333333333333,26,3-5 Tickets,Power User (Top 25%),True
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,S-47985c,2024-12-27,2024-07-14,Basic,2,0,True,False,False,True,480,8,2023-11-14,1166.5,3781,9332,1,0,1.0,2023-07-21,competitor,missing features,3.0,0.0,42.666666666666664,,0.0,75.33333333333333,38,399,110456,12,3,True,7,0.2,2023-07,15.0,0.3157894736842105,0,3-5 Tickets,Low (Bottom 25%),True
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,S-aa5012,2024-12-31,2024-10-12,Basic,41,779,False,False,False,True,476,17,2024-07-22,1525.1764705882354,6965,25928,2,1,0.0,,,,4.0,2.0,35.25,4.333333333333333,0.0,37.25,88,924,261489,59,13,False,651,21.7,2024-07,0.18433179723502305,0.6704545454545454,22,3-5 Tickets,Power User (Top 25%),True
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,S-8dd1cf,2024-12-17,,Basic,20,380,False,True,False,True,490,13,2024-09-07,2414.6153846153848,12338,31390,3,1,1.0,2024-09-05,budget,missing features,2.0,0.0,15.0,4.0,0.0,98.5,51,477,148106,25,5,True,15,0.5,2024-08,4.0,0.49019607843137253,0,1-2 Tickets,High (50-75%),True
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,S-0ce88b,2024-07-18,2024-09-23,Basic,9,171,False,False,False,True,642,9,2023-06-23,1046.6666666666667,5771,9420,3,1,1.0,2024-10-03,support,,3.0,1.0,37.0,4.0,0.0,69.66666666666667,39,439,120226,17,3,True,583,19.4,2023-02,0.15463917525773196,0.4358974358974359,19,3-5 Tickets,Medium (25-50%),True
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,S-4b9d7c,2024-12-05,2024-12-30,Pro,16,784,False,False,True,True,502,12,2024-09-10,1009.6666666666666,3184,12116,1,1,1.0,2024-10-12,pricing,switched to competitor,6.0,1.0,28.5,4.5,0.0,78.83333333333333,58,565,187525,38,5,True,41,1.4,2024-09,4.285714285714286,0.6551724137931034,1,6+ Tickets,High (50-75%),True
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,S-244df8,2024-10-28,2023-10-21,Basic,41,779,False,False,False,True,540,12,2023-06-03,1889.4166666666667,8159,22673,1,0,1.0,2024-04-12,competitor,switched to competitor,6.0,4.0,26.833333333333332,3.5,0.0,80.5,48,464,150051,25,5,True,345,11.5,2023-05,0.5217391304347826,0.5208333333333334,12,6+ Tickets,Medium (25-50%),True
